facebook.com,31.13.80.36
wikipedia.org,208.80.154.224
blogspot.com,172.217.165.9
youtube.com,172.217.165.14
live.com,204.79.197.212
yahoo.com,98.137.11.163
paipai.com,106.39.169.133
ifeng.com,82.156.59.186
msn.com,13.82.28.61
baidu.com,220.181.38.148
microsoft.com,104.215.148.63
qq.com,123.151.137.18
amazon.com,54.239.28.85
goo.ne.jp,114.179.184.93
alipay.com,110.75.129.5
taobao.com,140.205.220.96
wordpress.com,192.0.78.9
bbc.co.uk,151.101.192.81
softonic.com,35.227.233.104
hotmail.com,204.79.197.212
yandex.ru,77.88.55.70
tudou.com,106.11.43.215
myspace.com,63.135.90.70
bing.com,204.79.197.200
nifty.com,222.158.213.148
mail.ru,94.100.180.200
cnn.com,151.101.193.67
yahoo.co.jp,183.79.135.206
sina.com.cn,49.7.37.133
imageshack.us,208.94.3.18
soso.com,119.28.109.132
cnet.com,34.95.96.50
360.cn,36.110.213.10
163.com,123.58.180.8
go.com,23.236.60.174
orkut.com,216.239.34.21
ask.com,199.232.38.114
sohu.com,211.159.191.77
craigslist.org,208.82.237.129
adobe.com,72.136.195.107
4399.com,129.211.129.109
weather.com,104.93.179.52
apple.com,17.253.144.10
twitter.com,104.244.42.129
youku.com,106.11.43.158
hao123.com,39.156.68.154
mozilla.com,44.236.48.31
soku.com,106.11.47.19
skype.com,40.121.80.200
tianya.cn,124.225.206.22
sdjjdsaf.com,
alibaba.com,198.11.132.198
windows.com,40.112.72.205
renren.com,120.133.2.242
zynga.com,13.226.36.57
ameblo.jp,151.101.66.133
andysayler.com,159.89.253.85
mywebsearch.com,34.117.28.143
partypoker.com,195.72.134.91
livedoor.jp,
hp.com,15.73.192.108
xunlei.com,121.41.61.107
ebay.com,209.140.148.143
naver.com,223.130.195.95
pps.tv,116.211.199.233
flickr.com,13.226.131.119
blogger.com,142.251.33.169
56.com,183.232.65.145
wmfo.org,23.92.21.128
fc2.com,199.48.210.151
vkontakte.ru,87.240.190.67
4shared.com,204.155.146.95
linkedin.com,13.107.42.14
walmart.com,161.170.232.170
paypal.com,64.4.250.36
sogou.com,119.28.109.132
tmall.com,140.205.130.99
amazon.co.jp,52.119.161.5
ku6.com,117.50.1.222
about.com,151.101.194.137
kugou.com,183.131.48.92
dailymotion.com,195.8.215.136
imdb.com,52.94.237.74
rakuten.co.jp,133.237.16.234
ebay.de,216.113.179.53
youdao.com,103.72.47.249
answers.com,151.101.192.203
orkut.com.br,132.148.40.250
aol.com,98.136.103.23
hotfile.com,18.207.9.28
qiyi.com,111.206.13.63
7k7k.com,157.185.163.158
jp.msn.com,13.82.28.61
rapidshare.com,0.0.0.0
pconline.com.cn,219.136.244.85
odnoklassniki.ru,217.20.155.13
daum.net,203.133.167.16
photobucket.com,13.33.165.14
ehow.com,104.106.210.193
seesaa.net,99.86.61.58
2345.com,180.101.190.124
mediafire.com,104.16.203.237
